Name,District,Gender,Tribute,Game_Year,Winner,Mentor,Mentoree,Appearance,Alliance,Killed by,Profession
Agrippina Sickle,0,F,No,,,,,The Ballad of Songbirds and Snakes,Academy,,Professor
Androcles Anderson,0,M,"No, Mentor",,No,,Sheaf,The Ballad of Songbirds and Snakes,Academy,Rebels,Student
Apollo Ring,0,M,"No, Mentor",,No,,Otto,The Ballad of Songbirds and Snakes,Academy,Bombing,Student
Arachne Crane,0,F,"No, Mentor",,No,,Brandy,The Ballad of Songbirds and Snakes,Academy,Brandy,Student
Atala,0,F,No,,,,,Trilogy,,,Head trainer
Caesar Flickerman,0,M,No,,,,,"Trilogy, Sunrise on the Reaping",,,Commentator
Casca Highbottom,0,M,No,,,,,The Ballad of Songbirds and Snakes,Academy,Coriolanus Snow,Creator of the Hunger Games
Cassia,0,F,No,,,,,Sunrise on the Reaping,,,Camera crew
Cinna,0,M,No,,,,,"The Hunger Games, Catching Fire, Mentioned","Katniss, Rebels",The Capitol,Katniss' stylist
Claudius Templesmith,0,M,No,,,,,"The Hunger Games, Catching Fire, Mentioned",,,Announcer
Clemensia Dovecote,0,F,"No, Mentor",,No,,Reaper Ash,The Ballad of Songbirds and Snakes,Academy,Volumnia Gaul,Student
Coriolanus Snow,0,M,"No, Mentor",,Yes,,Lucy Gray Baird,"Sunrise on the Reaping, Trilogy, The Ballad of Songbirds and Snakes","Peacekeepers, Academy",Crowd,President of Panem
Crassus Snow,0,M,No,,,,,"The Ballad of Songbirds and Snakes, Mentioned",,Dark Days,"Father of Corionalus Snow, businessman"
Cressida,0,F,No,,,,,Mockingjay,Rebels,,Film director
Crispus Demigloss,0,M,No,,,,,The Ballad of Songbirds and Snakes,Academy,,Professor
Cyrus,0,M,No,,,,,The Ballad of Songbirds and Snakes,,,"Musician, Pluribus' partner"
Dennis Fling,0,M,"No, Mentor",,No,,Hy,The Ballad of Songbirds and Snakes,Academy,,Student
Diana Ring,0,F,"No, Mentor",,No,,Ginnee,The Ballad of Songbirds and Snakes,Academy,Bombing,Student
Domitia Whimsiwick,0,F,"No, Mentor",,No,,Tanner,The Ballad of Songbirds and Snakes,Academy,,Student
Dr. Aurelius,0,M,No,,,,,Mockingjay,Rebels,,Doctor
Dr. Kay,0,F,No,,,,,The Ballad of Songbirds and Snakes,Academy,,Biologist
Dr. Wane,0,M,No,,,,,The Ballad of Songbirds and Snakes,,,Doctor
Drusilla Sickle,0,F,No,,,,,Sunrise on the Reaping,,,Escort
Effie Trinket,0,F,No,,,,,"Trilogy, Sunrise on the Reaping",Katniss,,Escort
Fabricia Whatnot,0,F,No,,,,,The Ballad of Songbirds and Snakes,,,Fashion designer
Faustina Gripper,0,F,No,,,,,Sunrise on the Reaping,,,Head Gamemaker
Felix Ravinstill,0,M,"No, Mentor",,No,,Dill,The Ballad of Songbirds and Snakes,Academy,Bombing,"Student, President Ravinstill's nephew"
Festus Creed,0,M,"No, Mentor",,No,,Coral,The Ballad of Songbirds and Snakes,Academy,,Student
Flavius,0,M,No,,,,,Trilogy,,,Katniss' stylist
Florus Friend,0,M,"No, Mentor",,No,,Sabyn,The Ballad of Songbirds and Snakes,Academy,,Student
Fulvia Cardew,0,F,No,,,,,Mockingjay,Rebels,,Plutarch's Assistant
Gaius Breen,0,M,"No, Mentor",,No,,Panlo,The Ballad of Songbirds and Snakes,Academy,Bombing,Student
Grandma'am,0,F,No,,,,,The Ballad of Songbirds and Snakes,,,Grandmother of Snow
Hersilia,0,F,No,,,,,Sunrise on the Reaping,,,Trainer
Hilarius Heavensbee,0,M,"No, Mentor",,No,,Wovey,The Ballad of Songbirds and Snakes,Academy,,Student
Incitatus Loomy,0,M,No,,,,,Sunrise on the Reaping,,Coriolanus Snow,Parade master
Io Jasper,0,F,"No, Mentor",,No,,Circ,The Ballad of Songbirds and Snakes,Academy,,Student
Iphigenia Moss,0,F,"No, Mentor",,No,,Sol,The Ballad of Songbirds and Snakes,Academy,,Student
Jubilee,0,M,No,,,,,The Ballad of Songbirds and Snakes,,Depression,Depressed parrot
Junius,0,M,No,,,,,The Ballad of Songbirds and Snakes,Peacekeepers,,Peacekeeper
Juno Phipps,0,F,"No, Mentor",,No,,Bobbin,The Ballad of Songbirds and Snakes,Academy,,Student
Juvenia,0,F,No,,,,,Sunrise on the Reaping,,,Escort
Lavinia,0,F,No,,,,,"The Hunger Games, Catching Fire, Mentioned",Katniss,The Capitol,Avox
Lepidus Malmsey,0,M,No,,,,,The Ballad of Songbirds and Snakes,,,News Reporter
Livia Cardew,0,F,"No, Mentor",,No,,Facet,The Ballad of Songbirds and Snakes,Academy,,Student
"Lucretius ""Lucky"" Flickerman",0,M,No,,,,,"The Ballad of Songbirds and Snakes, Mentioned",,,"Weathercaster, commentator"
Lysistrata Vickers,0,F,"No, Mentor",,No,,Jessup Diggs,The Ballad of Songbirds and Snakes,Academy,,Student
Magno Stift,0,M,No,,,,,Sunrise on the Reaping,,,Stylist
Messalla,0,M,No,,,,,Mockingjay,Rebels,The Capitol,Film assistant
Mrs. Plinth,0,F,No,,,,,The Ballad of Songbirds and Snakes,,,Ma
Nero Price,0,M,No,,,,,The Ballad of Songbirds and Snakes,,,"Railway tycoon, cannibal"
Octavia,0,F,No,,,,,Trilogy,,,Katniss' stylist
Palmyra Monty,0,F,"No, Mentor",,No,,Velvereen,The Ballad of Songbirds and Snakes,Academy,,Student
Persephone Price,0,F,"No, Mentor",,No,,Mizzen,The Ballad of Songbirds and Snakes,Academy,,Student
Pliny Harrington,0,M,"No, Mentor",,No,,Lamina,The Ballad of Songbirds and Snakes,Academy,,Student
Pluribus Bell,0,M,No,,,,,The Ballad of Songbirds and Snakes,,,"Musician, Cyrus' partner"
Plutarch Heavensbee,0,M,No,,,,,"Trilogy, Sunrise on the Reaping",Rebels,,Head Gamemaker
Pollux,0,M,No,,,,,Mockingjay,Rebels,The Capitol,Cameraman
Portia,0,F,No,,,,,"The Hunger Games, Catching Fire, Mentioned",,The Capitol,Peeta's stylist
President Ravinstill,0,M,No,,,,,The Ballad of Songbirds and Snakes,,,President of Panem
Proserpina Trinket,0,F,No,,,,,Sunrise on the Reaping,Academy,,Student
Remus Dolittle,0,M,No,,,,,The Ballad of Songbirds and Snakes,,,Gamemaker
Satyria Click,0,F,No,,,,,The Ballad of Songbirds and Snakes,Academy,,Communications professor
Seneca Crane,0,M,No,,,,,"The Hunger Games, Mentioned",,Coriolanus Snow,Head Gamemaker
Strabo Plinth,0,M,No,,,,,The Ballad of Songbirds and Snakes,,,Munitions manufacturer
Tax,0,M,No,,,,,Catching Fire,,,Trainer
Tibby,0,M,No,,,,,Sunrise on the Reaping,,,Attendant
Tigris,0,F,No,,,,,"Mockingjay, The Ballad of Songbirds and Snakes",Rebels,,Stylist
Trajan Heavensbee,0,M,No,,,,,Mentioned,,,Father of Panem
Urban Canville,0,M,"No, Mentor",,No,,Teslee,The Ballad of Songbirds and Snakes,Academy,,Student
Venia,0,F,No,,,,,Trilogy,,,Katniss' stylist
Venus,0,F,No,,,,,The Ballad of Songbirds and Snakes,,,Smart child
Vipsania Sickle,0,F,"No, Mentor",,No,,Treech,The Ballad of Songbirds and Snakes,Academy,,Student
Vitus,0,M,No,,,,,Sunrise on the Reaping,Academy,,Student
Volumnia Gaul,0,F,No,,,,,"The Ballad of Songbirds and Snakes, Mentioned",Academy,,"Head Gamemaker, crazy scientist, professor"
Augustus Braun,1,M,Reaped,67,Yes,,,Mentioned,Careers,War,
Carat,1,F,Volunteer,50,No,,,Sunrise on the Reaping,Careers,The Capitol,
Cashmere,1,F,Volunteer,"64, 75",Yes,,,Catching Fire,Careers,Johanna Mason,
Facet,1,M,Reaped,10,No,Livia Cardew,,The Ballad of Songbirds and Snakes,,Peacekeepers,
Glimmer,1,F,Volunteer,74,No,,,The Hunger Games,Careers,Katniss Everdeen,
Gloss,1,M,Volunteer,"63, 75",Yes,,,Catching Fire,Careers,Katniss Everdeen,
Loupe,1,M,Volunteer,50,No,,,Sunrise on the Reaping,Careers,Maysilee Donner,
Marvel,1,M,Volunteer,74,No,,,"The Hunger Games, Mentioned",Careers,Katniss Everdeen,
Palladium Barker,1,M,Volunteer,46,Yes,,,Mentioned,Careers,War,
Panache Barker,1,M,Volunteer,50,No,,,Sunrise on the Reaping,Careers,Maysilee Donner,
Silka Sharp,1,F,Volunteer,50,No,,,Sunrise on the Reaping,Careers,Haymitch Abernathy,
Velvereen,1,F,Reaped,10,No,Palmyra Monty,,The Ballad of Songbirds and Snakes,,Peacekeepers,
Alpheus,2,M,Volunteer,50,No,,,Sunrise on the Reaping,Careers,The Capitol,
Brutus,2,M,Volunteer,75,Yes,,,Catching Fire,Careers,Peeta Mellark,
